,C,pedido,cluster,validation
0,T001,dei entrada na minha aposentadoria por _tempo_ de contribuição _e_ já obtive o benefício tendo recebido a carta de concessão do benefício _e_ a certidão para saque do fgts na carta de concessão do benefício consta o banco para onde seria enviado o beneficio _e_ no extrato de pagamentos obtido no site do inss consta que o crédito está disponível para saque porém ao comparecer para efetuar o saque no caixa o mesmo me informou que _não_ existe nenhum pagamento disponível _e_ que era problema de cadastro retornei o inss regularizei cadastro falta do numero do rg _e_ mesmo assim meu benefício continua _não_ aparecendo no sistema bancário o banco diz que é problema do inss _e_ o inss diz que é problema do banco preciso de orientação de como regularizar este problema obrigado,Temer_01,Q2: Private-Political
1,T002,prezados fiz cadastro no site de serviços inss central tento agendar pelo site visita para _solicitação_ de aposentadoria por _tempo_ de serviço _e_ fui surpreendido com a mensagem de que tenho menos de 15 _anos_ de contribuição sendo que neste mesmo canal de serviços do inss retiro extrato com minhas contribuições ininterruptas desde o _ano_ de 1982 pois bem ligo no 135 doc 201721456496 atendente _não_ sabe me informar o porquê dessa _informação_ errônea de que tenho menos de 15 _anos_ de contribuição _e_ ainda me diz que na capital do _estado_ do paraná curitiba _não_ há disponibilidade para agendar meu atendimento ao final da ligação me pergunta _se_ está tudo bem _e_ _se_ preciso de algo mais gostaria de ressaltar que quando me dirijo ao banco para fazer os pagamentos previdenciários mensais sempre fui atendido ou seja para o inss receber sempre há disposição _e_ agenda agora para atender me dizem que _não_ há disponibilidade para atendimento paulo cesar santos cpf 536 734 339 20 41 996717879,Temer_01,Q1: Public-Political
2,T003,prezados fiz cadastro no site de serviços inss central tento agendar pelo site visita para _solicitação_ de aposentadoria por _tempo_ de serviço _e_ fui surpreendido com a mensagem de que tenho menos de 15 _anos_ de contribuição sendo que neste mesmo canal de serviços do inss retiro extrato com minhas contribuições ininterruptas desde o _ano_ de 1982 pois bem ligo no 135 doc 201721456496 atendente _não_ sabe me informar o porquê dessa _informação_ errônea de que tenho menos de 15 _anos_ de contribuição _e_ ainda me diz que na capital do _estado_ do paraná curitiba _não_ há disponibilidade para agendar meu atendimento ao final da ligação me pergunta _se_ está tudo bem _e_ _se_ preciso de algo mais gostaria de ressaltar que quando me dirijo ao banco para fazer os pagamentos previdenciários mensais sempre fui atendido ou seja para o inss receber sempre há disposição _e_ agenda agora para atender me dizem que _não_ há disponibilidade para atendimento paulo cesar santos cpf 536 734 339 20 41 996717879,Temer_01,Q1: Public-Political
3,T004,há _meses_ tento atualizar o valor da contribuição da guia da previdência_social gps debitada em conta corrente no site _www_ mpts _gov_ _br_ servicos do ministerio servicos informa o endereço _http_ cnis inss _gov_ _br_ debconweb quando _se_ acessa a este sistema é solicitado o cpf _e_ uma senha já estive nas agências nazaré _e_ marco do inss para receber senha _e_ todas as senhas recebidas são rejeitadas pelo sistema _e_ _se_ repetir duas _vezes_ a mesma é bloqueada nas agências do inss ninguém sabe informar como proceder inviabilizando a prestação do serviço liguei para o _número_ 135 da previdência mas tampouco souberam me dizer o que preciso fazer me disseram incialmente de procurar o banco fui na caixa_econômica federal _e_ me disseram que quem estabelece o valor é inss _e_ que qualquer alteração seria feita via site do inss no 135 me sugeriram de recorrer à ouvidoria mas no site _não_ aparece esta opção gostaria saber como proceder para poder alterar o valor deste pagamento,Temer_01,Q2: Private-Political
4,T005,solicito a esta autarquia que interceda junto ao banco bradesco agência 24 de _maio_ na _cidade_ de são_paulo capital do _estado_ para que seja feita a transferência do fgts referente ao _período_ que trabalhei no inps sigla da época na _cidade_ de santos sp que é de 07 de _novembro_ de 1975 a 29 de _dezembro_ de 1978 com o advento da _lei_ n 6 439 77 a fiscalização _e_ a arrecadação das contribuições do fgts passaram para o instituto de administração financeira da previdência_social _e_ assistência_social iapas que posteriormente unificou _se_ ao inss conforme anotações em minha carteira profissional meu fgts foi transferido do banco do _brasil_ para o bradesco em _março_ de 1978 agradeço a _atenção_ _e_ aguardo retorno cpf 782052478 20 pasep 10088944260 ctps n 074144 série 415a _data_ emissão23 09 74 rg 9071576 7,Temer_01,Q1: Public-Political
5,T006,com base no _artigo_ 5 inciso _xxxiii_ da constituição_federal requeiro as seguintes _informações_ 1 qual a _quantidade_ de beneficiários que recebem o benefício de auxílio doença _e_ qual o valor_gasto nos últimos 12 _meses_ com descrição _mês_ a _mês_ com o pagamento deste benefício 2 qual a _quantidade_ de beneficiários que recebem o benefício de aposentadoria por invalidez _e_ qual o valor_gasto nos últimos 12 _meses_ _mês_ a _mês_ com o pagamento deste benefício 3 qual a _quantidade_ de beneficiários que recebem os benefícios de aposentadoria por idade urbana especial por _tempo_ de contribuição da pessoa com deficiência _e_ quais os valores gastos nos últimos 12 _meses_ com descrição _mês_ a _mês_ com o pagamento destes benefícios 4 qual a _quantidade_ de beneficiários que recebem o benefício de aposentadoria por idade rural _e_ qual o valor_gasto nos últimos 12 _meses_ _mês_ a _mês_ com o pagamento deste benefício 5 qual a _quantidade_ de beneficiários isto é de dependentes que recebem os benefícios de pensão por morte _e_ auxílio reclusão _e_ quais os valores gastos nos últimos 12 _meses_ _mês_ a _mês_ com os pagamentos destes benefícios 6 qual a _quantidade_ nos últimos 12 _meses_ de beneficiários que receberam o benefício de salário maternidade urbano _e_ quais os valores gastos nos últimos 12 _meses_ _mês_ a _mês_ com o pagamento deste benefício 7 qual a _quantidade_ nos últimos 12 _meses_ de beneficiários que receberam o benefício de salário maternidade rural _e_ quais os valores gastos nos últimos 12 _meses_ _mês_ a _mês_ com o pagamento deste benefício 8 qual a _quantidade_ de beneficiários que recebem os benefícios de auxílio acidente _e_ salário família _e_ quais os valores gastos nos últimos 12 _meses_ _mês_ a _mês_ com o pagamento destes benefícios 9 qual o valor arrecadado pelo inss nos últimos 12 _meses_ com descrição _mês_ a _mês_ com as contribuições previdenciárias previstas no _artigo_ 195 único incisos _i_ a _iv_ do decreto 3 048 1999 atenciosamente lucas gaspar,Temer_01,"Based on the information provided in the Input, I would classify it as Q2: Private-Political. The input contains information about the amount of beneficiaries receiving various benefits from the Brazilian government, such as maternity leave, disability pension, and death pension, among others. This information is related to the private sector (government) and its political aspects (benefits and payments)."
6,T007,com o plano de aposentadoria antecipada lançado recentemente pelo banco do _brasil_ muitos funcionários optarão pela aposentadoria pela previ caixa de previdência dos funcionários do bb porém sem _tempo_ de aposentadoria pelo inss qual o valor mínimo da contriuição mensal para o _tempo_ que falta para esses funcionários aposentarem pelo teto do inss tendo eles mais de 80 das contribuições realizadas pelo teto,Temer_01,Q1: Public-Political
7,T008,1 quanto a previdência_social arrecadou em 2016 no país quais suas fontes de renda em 2016 2 quando dessa arrecadação foi desvinculado por _meio_ da dru em 2016 3 quanto foi pago pela previdência em loas em 2016 4 quando foi pago em aposentadorias do setor privado em 2016 5 quanto foi pago em aposentadorias do setor público federal em 2016 6 quanto representam os gatos com o total de aposentadorias _e_ pensões de militares em 2016 7 quanto foi arrecadado com contribuições do setor público federal em 2016 quanto foi arrecadado com os funcionários da administração direta em 2016 quanto foi arrecadado com funcionários de institutos em 2016 quanto foi arrecadado com funcionários de economia mista em 2016 quanto foi arrecadado com funcionários de fundações _e_ autarquias em 2016 _e_ quanto foi arrecadado com funcionários de universidades_federais em 2016 8 quanto foi arrecadado com contribuições do setor privado em 2016 9 quanto foi gastos com aposentadorias do poder judiciário justiça federal _e_ tribunais superiores em 2016 10 quanto foi arrecadado com contribuições do poder judiciário justiça federal _e_ tribunais superiores em 2016 11 quanto foi gasto com o pagamento de loas em 2016 12 quanto foi gasto com os pagamento de aposentadorias rurais em 2016 13 quanto foi gasto com pensões por morte _e_ invalidez em 2016 14 quanto foi gasto em outros benefícios incluídos na conta da seguridade social 15 qual o total de gastos da previdência em 2016 16 quanto foi gasto com aposentadorias do ministério público federal em 2016 17 quanto foi arrecadado com contribuições de funcionários do ministério público federal 18 qual a média do valor do benefícios pagos pela previdência em 2016 19 qual a média do valor dos benefícios pagos a aposentados _e_ pensionistas do setor público 20 qual a média dos benefícios pagos a aposentados _e_ pensionistas do setor privado em 2016,Temer_01,"Based on the information provided in the Input, I would classify it as Q1: Public-Political. The input deals with the collection and distribution of social security funds, which is a public political issue in Brazil."
8,T009,tendo em vista que pago ininterruptamente caixa de pecúlio capec caixa de assistência médica para funcionários do banco do _brasil_ cassi caixa de previdência complementar fechada para funcionários do banco do _brasil_ previ que os contratos foram assinados no ato da posse na referida _instituição_ financeira _e_ que _caso_ esses descontos em folha_de_pagamento sejam interrompidos os contratos podem ser cancelados solicito informar _se_ para o decreto 4840 de 2003 em _relação_ ao conceito de remuneração disponível para descontos com empréstimos 1 foi regulamentada a mp130 _e_ este decreto regulamenta os _casos_ de _relações_ trabalhistas de funcionários do banco do _brasil_ 2 _se_ houve alteração por outro decreto ou outra _lei_ 3 _se_ o décimo terceiro pago aos funcionários pelo banco do _brasil_ enquanto na ativa _e_ pela previ após aposentadoria pode ser utilizado para descontos com empréstimos em folha_de_pagamentos 4 _se_ no cálculo da remuneração disponível para descontos com planos de saúde previdência complementar _e_ caixa de pecúlios assinados no ato da posse do funcionário _e_ pagos desde então até a aposentadoria _e_ após essa são descontos considerados obrigatórios _e_ portanto _não_ podem ser considerados remuneração disponível para descontos com empréstimos em folha_de_pagamento 5 _se_ os descontos com planos de saúde previdência complementar _e_ caixa de pecúlios acima citados podem ser considerados facultativos _e_ portanto a _instituição_ financeira pagadora pode somar esses valores de descontos como remuneração disponível para descontos com empréstimos em folha_de_pagamento 6 _se_ a remuneração considerada disponível para descontos com empréstimos deve corresponder a 30 do saldo que restar da remuneração básica sem décimo terceiro salário _e_ horas extras subtraída de imposto_de_renda pensão alimentícia _e_ contribuições com plano_de_saúde para funcionários contribuições com plano de previdência complementar fechado _e_ caixa de pecúlio de funcionário,Temer_01,Q1: Public-Political
9,T010,boa tarde paguei contribuição individual ao inss cod 1007 atraves do banco itau ma opção cadastrar favoritos acontece que no campo identificador coloquei o cpf ao invés do pis _e_ lamentavelmente o bco aceitou o cadastro cadastrei tres pessoas ais quais sou responsavel pelo pagamento da contribuição todos contribuintes individuais ou seja cometi o mesmo erro nos tres sendo um desses tres eu propria entrei em _contato_ com o numero 135 _e_ não souberam me explicar como proceder ee no agendamento não achei nenhum relacionado ao meu problema também paguei nesta mesma _data_ 26 07 16 uma guia vencida referente a competencia de _maio_ inclui os juros _e_ multa porem o programa não me permitiu trocar o codigo de 1007 para 1201 conforme estava na guia gerada,Temer_01,Q2: Private-Political
