Pedidos e respostas,Órgão,Ano,Assunto,Decisão,Veredito
"No concurso 54/16 desta instituição foram convocados para a verificação negro/pardo apenas os candidatos classificados para cargos com vagas imediatas para cotas negro/pardo. Pela lei 12.990/14 o 03 nomeado no concurso será cotista negro/pardo e os cargos que ofereceram somente 01 ou 02 vagas imediatas não foi realizada verificação dos candidatos negros classificados, caso venham a nomear mais que as vagas imediatas e tenham que nomear um cotista negro/pardo,quando será feita a verificação desse candidato? Antes ou após a nomeação?;23/01/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2738160;Conduta Docente; ; ;06/01/2017;Boa tarde, segue anexa resposta a vossa solicitação. Sugiro que para maiores informações ligue para (94)2101-7163. Agradecemos o seu contato.;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UNIFESSPA – Universidade Federal do Sul e Sudeste do Pará,2017,verificação autodeclaração,Atendido em anexo,1
"Prezado(a), Com base na Lei de Acesso à Informação (Lei n. 12.527/2011) e no princípio da publicidade que rege a Administração Pública, venho, por meio deste, requerer a qualificação dos membros da banca que participaram do procedimento de verificação da condição de candidato negro, referente ao concurso público para provimento dos cargos vagos de Procurador da Fazenda Nacional de 2ª Categoria, conforme EDITAL ESAF Nº 34, DE 03 DE JULHO DE 2015, posteriormente alterado, neste ponto, pelo EDITAL ESAF Nº 70, DE 15 DE SETEMBRO DE 2016, bem como, para fins de controle de legalidade e interesse público, seja fornecido/enviado via e-mail os vídeos das entrevistas de todos os candidatos submetidos a referida verificação. Att.;30/01/2017;Não;Sim;Pelo sistema (com avisos por email);Internet;2732307;Serviços Públicos; ; ;09/01/2017;Prezado Sr, Comunicamos que foram identificadas mais de uma mensagem em seu nome e que tratam do mesmo tema. Assim, esclarecemos que esta mensagem foi encerrada, visto que o assunto já foi respondido pelo NUP 16853.008420/2016-17, no dia 02/01/2017, e que o acompanhamento da demanda pode ser feito pelo sistema e-SIC mediante login e senha criados pelo (a) senhor (a). Atenciosamente, Serviço de Informação ao Cidadão Ministério da Fazenda;Pergunta Duplicada/Repetida;",ME - Ministério da Economia,2017,Qualificação dos membros da banca que participaram do procedimento de verificação da condição de candidato negro para o concurso da Procuradoria da Fazenda Nacional - PFN,Não atendido (repetido),1
"Conforme divulgado hoje (05/01/2017) no Diário Oficial da União, bem como no próprio site da ESAF, houve uma republicação do Resultado Final para o cargo de Analista Administrativo área 1, da ANAC, tendo em vista a constatação de erro no processamento de classificação do candidato Marcos Vinícius Araújo Silva Dourado . Solicito, justificativas e esclarecimentos quanto a este erro de processamento de classificação do candidato. Com essa republicação, aparentemente a ESAF cometeu um erro grave e descumpriu as próprias determinações do Edital ESAF nº 76, de 04 de dezembro de 2015 e da Lei nº 12.990/2014. No intuito de esclarecer a situação, faço as seguintes considerações: O Edital ESAF nº 76, de 04 de dezembro de 2015 (bem como a própria Lei nº 12.990/2014) determina, no tópico 8.14 que Na apuração do Resultado Final do concurso, o candidato preto ou pardo aprovado dentro do número de vagas oferecido para ampla concorrência não será computado para efeito do preenchimento das vagas reservadas à cota racial. Essa determinação havia sido respeitada no Edital ESAF n° 109, de 22 de novembro de 2016, o qual divulgou o Resultado Final para o Cargo de Analista Administrativo Área 1, à época. Nessa divulgação, o candidato Marcos Vinícius Araújo da Silva Dourado havia, mesmo concorrendo como candidato cotista, alcançado a 12º maior nota para o cargo, sendo suficiente para classificá-lo dentro das 13 vagas oferecidas pela ampla concorrência e, consequentemente, afastá-lo para efeito de preenchimento das vagas reservadas à cota racial. No entanto, com essa Republicação divulgada hoje (Edital ESAF nº 01, de 03 de janeiro de 2017), o candidato Marcos Vinícius Araújo da Silva Dourado, mesmo com nota suficiente para figurar entre as vagas da ampla concorrência, foi retirado dessas vagas e inserido nas vagas reservadas aos candidatos cotistas. Solicito esclarecimentos quanto aos motivos que justificaram essa Republicação, já que o D.O.U não trouxe maiores esclarecimentos. ;25/01/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2738693;Serviços Públicos; ; ;19/01/2017;Prezado (a) Sr. (a), Em atenção ao requerimento formulado, cumpre-nos informar que a demanda foi encaminhada ESAF - Escola de Administração Fazendária, que se pronunciou conforme abaixo: Por meio do pedido protocolado sob o nº 16853.000080/2017-59 (Informação SIC nº 006/2017), Vossa Senhoria solicita esclarecimentos acerca da retificação do edital que publicou o resultado final para o cargo de Analista Administrativo, área 1, do concurso público para provimento de cargos da Agência Nacional de Aviação Civil (Anac), instaurado por meio do Edital Esaf nº 76, de 4.12.15. Em atendimento ao requisitado, cumpre esclarecer que o candidato Marcos Vinícius Araújo Silva Dourado, optante das vagas reservadas pela Lei nº 12.990/14, ao final do certame, obteve pontuação suficiente para ser classificado em vaga da ampla concorrência, e, de fato, de acordo com o Anexo 1, do Edital Esaf nº 109, publicado no Diário Oficial da União de 23.11.16, ele foi classificado 14º lugar. Todavia, posteriormente, foi constatado que esse candidato foi aprovado e classificado na prova objetiva, única e exclusivamente, porque obteve pontuação necessária e suficiente como cotista ¿ 125,00 pontos (Edital Esaf nº 22, de 20.4.16), e não como candidato da ampla concorrência, observada a linha de corte prevista no quadro do item 10.12 do edital regulador. Assim, tendo ele sido aprovado unicamente como cotista de uma fase para outra (da prova objetiva para a prova discursiva), a Esaf procedeu à retificação da vaga ocupada, passando ele a ocupar uma das vagas reservadas aos candidatos negros, conforme Edital Esaf nº 1, de 3.1.17, publicado no DOU de 5.1.17. Note-se, o candidato não poderia ocupar vaga da ampla concorrência, pois nessa modalidade de concorrência, durante a execução do certame, ele foi eliminado (não obteve pontuação suficiente para aprovação e classificação como candidato da ampla concorrência, na linha de corte estabelecida no edital regulador, razão pela qual, como candidato da ampla concorrência, ele não teria sido convocado para prestar a prova discursiva). Nos termos do art. 21, parágrafo único, do Decreto nº 7.724/2012, Vossa Senhoria poderá recorrer, no prazo de 10 (dez) dias a contar da sua ciência. Atenciosamente, Dires/Esaf. ;Acesso Concedido;Resposta solicitada inserida no Fala.Br",ME - Ministério da Economia,2017,"Esclarecimentos quanto à Republicação do Resultado Final do Concurso da ANAC, para Analistas Administrativos Área 1, por meio do Edital ESAF nº 01, de 03 de janeiro de 2017",Atendido,1
"Prezados(as), Homologou-se hoje o concurso 2016 - tecnico administrativo da UFMG. Para o cargo técnico em audiovisual, no qual constava no edital três vagas, uma ampla concorrência, uma deficiente e uma negro. De acordo com a homologação, estou em terceiro lugar na lista de ampla concorrência, sendo que o primeiro lugar consta na lista de negros e o segundo lugar consta na lista tanto de negros quanto de deficientes (vide anexo). Gostaria de saber se, sendo assim, eu serei chamada como a primeira da ampla concorrência, já que os dois acima da minha colocação entram também como cotistas . Agradeço a atenção e aguardo retorno. Raphaela. ;30/01/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2739540;Conduta Docente; ; ;26/01/2017;Prezado Sr., em resposta ao seu pedido de informação NUP 23480000435201751, segue resposta do Departamento de Recursos Humanos da UFMG: Em resposta a solicitação referente a nomeação para o cargo de Técnico em Audiovisual informamos que de acordo a Lei nº 12.990/2014 prevê: Art. 3o Os candidatos negros concorrerão concomitantemente às vagas reservadas e às vagas destinadas à ampla concorrência, de acordo com a sua classificação no concurso. § 1o Os candidatos negros aprovados dentro do número de vagas oferecido para ampla concorrência não serão computados para efeito do preenchimento das vagas reservadas. § 2o Em caso de desistência de candidato negro aprovado em vaga reservada, a vaga será preenchida pelo candidato negro posteriormente classificado. A nomeação para as vagas oferecidas no Edital 358/2016, para o cargo de Técnico de Laboratório – Audiovisual será da seguinte forma: - 1º colocado da ampla concorrência, - 1º colocado da vaga de deficiente e - 3º colocado da vaga de negro. Assim, a próxima vaga que surgir será destinada ao terceiro classificado nas vagas de ampla concorrência. Atenciosamente, Marisa Teixeira Gomes Assessoria DRH O SIC UFMG informa que nos termos do art. 15 da Lei 12.527/11, V.Sa. poderá interpor recurso contra a resposta recebida no prazo de 10 (dez) dias a contar da sua ciência. O recurso será dirigido à autoridade hierarquicamente superior a que exarou a resposta em questão, que deliberará no prazo de 05 (cinco) dias corridos. Atenciosamente, Equipe SIC UFMG. ;Acesso Concedido;Informações enviadas por e-mail",UFMG – Universidade Federal de Minas Gerais,2017,Ordem chamada concurso UFMG - tec audiovisual,Atendido,1
"Olá. Solicito as seguintes informações: 1- Para quando está previsto para começar as CONVOCAÇÕES do concurso público de 2016 para a DATAPREV, com homologação prevista para 24/02/2017? 2- Qual a previsão de contratação para o cargo ANALISTA DE TECNOLOGIA DA INFORMAÇÃO - PESSOAS, com lotação no Rio de janeiro - RJ (313RJ)? 3- Qual a quantidade de vagas em carência no quadro de pessoal para o cargo citado na questão anterior? 4- Para o mesmo cargo, QUANTOS candidatos poderão ser convocados e QUANDO? 5- Em caso de não participação de PCD (Pessoa com Deficiência) para o cargo, a segunda vaga (que seria reservada para PCD) vai para Ampla Concorrência ou Cota de Negros (que ficaria com a terceira vaga)? 6- Quais são os exames feitos/solicitados e o que é avaliado no exame médico de admissão? 7- As convocações serão feitas por telegrama. Existe algum meio para que o candidato se informe de sua situação e se está prestes a ser convocado? 8- Caso o candidato não receba o primeiro telegrama, será enviado outro depois de quanto tempo? 9- Caso não haja ninguém em casa no momento do recebimento do telegrama, haverá outras tentativas de entrega ou já se considera como não recebido e envia-se o segundo? Obrigado.;30/01/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2739723;Acesso à informação; ; ;16/01/2017;Prezado, Em resposta ao seu pedido de informação segue abaixo: 1) Após a homologação do resultado final do Concurso Público 01/2016 com data prevista para o dia24/02/17 e o término da validade Concurso Público 2014 em 12/03/17, a Dataprev iniciará a convocações dos candidatos aprovados em cadastro reserva do concurso público 2016 de acordo coma necessidade de reposição de pessoal dos seus processos produtivos. 2) No momento, a Dataprev não tem previsão de convocação de candidatos para o cargo de Analista de Tecnologia da Informação, perfil Pessoas, localidade de lotação Rio de Janeiro (RJ). A Dataprev efetiva as convocações de candidatos aprovados em cadastro reserva de concurso público nas seguintes situações: - Reposição de empregados desligados, caso seja necessária à substituição, - Aumento de quadro em função da necessidade operacional e/ou crescimento produtivo da empresa. 3) A gestão do Quadro de Lotação de Pessoal – QLP da DATAPREV é realizada pela relação entre o quantitativo de postos de trabalho aprovados versus os postos de trabalho ocupados. Dessa forma, existindo postos de trabalho vagos, a direção da Empresa, de acordo com a necessidade de mão-de-obra para atendimento as demandas de serviços dos processos produtivos, autoriza a abertura de processo de contratação de candidato aprovado em certame. A Secretaria de Coordenação e Governança das Empresas Estatais – SEST estabelece um teto para o quantitativo do quadro efetivo das estatais. Atualmente, o quadro de pessoal estabelecido para a Dataprev é de 3.811 (três mil oitocentos e onze) empregados. Esse quantitativo funciona apenas como um balizador, não obrigando que a empresa possua em seu quadro esse quantitativo de empregados. O quadro efetivo da Dataprev pode variar, em função de admissões e desligamentos, para um número maior ou menor de empregados, de acordo com a sua necessidade operacional e/ou seu crescimento produtivo, sempre respeitando o quantitativo máximo aprovado. Diante do exposto acima, constata-se que as novas oportunidades de contratações que surgem ao longo da gestão produtiva da DATAPREV são supridas de imediato e obedecem ao saldo disponível entre o quadro de pessoal efetivo e o aprovado pelo SEST. 4) Conforme informado no item 3, não é possível prever o quantitativo de empregados a serem convocados, pois esse número pode variar em decorrência das admissões e desligamentos, para um número maior ou menor de empregados, de acordo com sua necessidade operacional e/ou crescimento produtivo, sempre em conformidade com o quantitativo máximo aprovado pelo SEST. 5) As vagas definidas para PCD que não forem ocupadas por falta de candidatos com deficiência serão preenchidas por candidatos da Ampla Concorrência, conforme item 5.19 do edital do Concurso Público 01/2016: As vagas definidas no item 5.3 que não forem providas por falta de candidatos com deficiência, aprovados, serão preenchidas pelos demais candidatos da ampla concorrência, observada a ordem geral de classificação por Cargo/Perfil. 6) Conforme item 14.4 do edital do Concurso Público 01/2016: Obedecida a ordem de classificação, os candidatos convocados serão submetidos a exames médicos de caráter eliminatório, que avaliarão sua capacidade laborativa para o desempenho das tarefas pertinentes ao Cargo/Perfil a que concorrem, a ser realizado pelo Serviço Médico Credenciado pela DATAPREV, o qual avaliará e emitirá Atestado de Saúde Ocupacional – ASO, e item 14.4.1 do edital: 14.4.1.: No exame médico, os candidatos serão submetidos à avaliação clínica, que abrange: anamnese ocupacional e exame físico e mental e exames complementares de acordo com o Programa de Controle Médico de Saúde Ocupacional - PCMSO da DATAPREV, vigente na data de convocação e exames complementares e específicos, quando a equipe médica da DATAPREV julgar necessário, para confirmar a aptidão do candidato, . 7) O candidato deverá manter-se informado das convocações no endereço: http://portal.dataprev.gov.br/ 8) Caso o candidato não compareça a primeira convocação, será encaminhado um segundo telegrama, conforme item 14.3.1.1 do edital do Concurso Público 01/2016: No caso de não recebimento do primeiro telegrama de convocação, a DATAPREV enviará um segundo telegrama. No caso de não recebimento deste segundo telegrama, seja qual for o motivo alegado, o candidato será excluído do Concurso Público. 9) A entrega do telegrama é de responsabilidade da Empresa Brasileira de Correios e Telégrafos. Lembramos que é responsabilidade do candidato manter atualizado o endereço perante a Cetro Concursos até a data da publicação da homologação dos resultados e após este prazo, junto à Dataprev por meio do site (www.dataprev.gov.br), conforme item 15.7 do edital do Concurso Público 01/2016. Atenciosamente, Serviço de Informações ao Cidadão - SIC EMPRESA DE TECNOLOGIA E INFORMAÇÕES DA PREVIDÊNCIA – DATAPREV ;Acesso Concedido;Resposta solicitada inserida no Fala.Br",DATAPREV – Empresa de Tecnologia e Informações da Previdência,2017,Informações sobre concurso público e vagas,Atendido,1
"Boa noite, Devido o resultado dos editais Nº 6 e Nº 7 MP/ENAP, DE 11 DE JULHO DE 2016 e das vagas provenientes da anulação de nomeações de servidores e aprovados ainda não nomeados, não considerados aptos pela banca de apuração e no procedimento administrativo de verificação da condição declarada para concorrer às vagas destinadas a negros, totalizando 5 vacâncias no cargo 23. Diante disso, gostaria de saber da possibilidade de novas convocações dos próximos classificados no concurso MP/ENAP para verificação da condição declarada para concorrer às vagas reservadas aos negro? visto que, o edital cargo 23 ofertava 11 vagas para cotas.;31/01/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2700061;Serviços Públicos; ; ;13/01/2017;Senhora Noelia, O Serviço de Informações ao Cidadão do Ministério do Planejamento, Desenvolvimento e Gestão agradece o seu contato. Em atenção à sua solicitação, informamos que já foram realizadas, para todos os candidatos homologados o procedimento de verificação dos que se auto declararam negros ou pardos. Ou seja, não havendo mais nenhum procedimento a ser realizado em relação à verificação de cotista, por parte deste Ministério, para o concurso MP/ENAP, regulado pelo Edital nº 01/2015. Atenciosamente, Serviço de Informações ao Cidadão (SIC) Ministério do Planejamento, Desenvolvimento e Gestão (MP) www.planejamento.gov.br/acesso-a-informacao;Acesso Concedido;Resposta solicitada inserida no Fala.Br",ME - Ministério da Economia,2017,concurso MP/ENAP 2015,Atendido,1
"Solicito a ordem atual da alternância de vagas para Ampla concorrência,deficientes e negros do Cargo de Auditor, haja vista que o concurso em epigrafe abriu apenas uma vaga para ampla concorrência e mais quatro para CR. Considerando que a vaga aberta é para ampla concorrência, em que posição esta a próxima de Negro e Deficiente conforme Lei federal sobre o assunto? Ou seja, no surgimento de vaga no decorrer do certame, qual será a ordem de nomeação do proximo Negro e Deficiente? No aguardo. ;01/02/2017;Não;Sim;Pelo sistema (com avisos por email);Internet;1375021;Acesso à informação; ; ;16/01/2017;Prezado (a) Marcelo, Antes de tudo, o Instituto Federal do Maranhão agradece o contato. Recebemos seu pedido de informação de nº [23480000664201775]. Encaminhamos as informações da Comissão de Concurso Público para Provimento de Cargos Públicos Efetivos da Carreira dos Cargos Técnico-Administrativos em Educação, Edital de Concurso Público nº 02 de 26/08/2016, retificado em 12/01/2017: - O Concurso dos Técnico-Administrativos em Educação regido pelo Edital nº 02/2016, prevê: 5.1. Das vagas destinadas para cada Cargo, pelo menos 5% (cinco por cento) serão reservadas às pessoas com deficiência, para serem providas na forma do Estatuto da Pessoa com Deficiência. 5.2. Caso a aplicação do percentual de 5% resulte em número fracionado, este deverá ser elevado até o primeiro número inteiro subsequente em caso de fração igual ou maior que 0,5 (cinco décimos), desde que não ultrapasse 20% (vinte por cento) das vagas oferecidas por Cargo. 6.1. Das vagas destinadas ao presente Concurso Público, e das que vierem a ser criadas durante seu prazo de validade, 20% (vinte por cento) serão providas na forma da Lei nº 12.990, de 9 de junho de 2014, conforme indicado no ANEXO I deste Edital. 6.1.1. Caso a aplicação do percentual de que trata o item 6.1 deste Edital resulte em número fracionado, este será elevado até o primeiro número inteiro subsequente, em caso de fração igual ou maior que 0,5, ou diminuído para o número inteiro imediatamente inferior, em caso de fração menor que 0,5, nos termos do § 2º do Art. 1º da Lei n° 12.990/2014. Observa-se que as convocações [tanto para pessoas com deficiência como reserva aos negros] estão condicionadas ao quantitativo de vagas. Desta feita, não há alternância de convocação. A vaga para o cargo de Auditor é para a ampla concorrência. Os que porventura forem convocados, devem ser os aprovados para a ampla concorrência. As pessoas com deficiência como os negros somente serão convocados em caso de acréscimo de vagas para o mesmo cargo, sendo observado o percentual para cada caso. Atenciosamente, Ouvidoria Institucional do IFMA ;Acesso Concedido;Resposta solicitada inserida no Fala.Br","IFMA – Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",2017,"Solicito a Posição Atual da Ordem de Alternância de Vagas para IFMA, no Cargo de Técnico Administrativo - Auditor, com fins de esclarecimentos do edital (EDITAL DE CONCURSO PÚBLICO nº 02 de 26/08/2016, retificado em 10/01/2017)",Atendido,1
"A Secretaria de Políticas de Ações Afirmativas (SPAA) solicita os dados referentes a quantidade de alunos e alunas, negros e negras nas Universidades Públicas e Privadas do Brasil. ;06/02/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2534872;Educação Superior; ; ;01/02/2017;Segue anexo pedido de cancelamento de demanda pela própria cidadã. ;Não se trata de solicitação de informação;","MMFDH – Ministério da Mulher, da Família e dos Direitos Humanos",2017,Informação referente a quantidade de alun@s negr@s na universidades federais e privadas,Atendido em anexo,1
"Realizei o concurso de Edital 19/2016 para Docentes como cotista negro. Havia duas datas possíveis para a verificação racial, dias 4 e 5 de fevereiro, porém eu foi marcado para o sábado dia 4 a minha verificação presencial. Como eu sou Adventista do Sétimo Dia (sabatista), eu gostaria de humildemente solicitar a trocar de dia para mim. Caso não seja este o meio, qual procedimento eu poderia realizar para conseguir essa troca? Obrigado!;06/02/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2741437;Educação Profissionalizante; ; ;19/01/2017;Prezado Conforme publicação realizada no site http://www.ifrs.edu.br/site/midias/arquivos/2017018132636536horarios_e_locais_das_bancas.pdf, a realização da prova didática da vaga em que você foi aprovado, ficou pra o dia 05/02/2017, domingo. Atenciosamente, Comissão de Concursos IFRS ;Acesso Concedido;Resposta solicitada inserida no Fala.Br","IFRS – Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",2017,Sou sabatista e tenho uma prova a realizar no sábado,Atendido,1
"A Secretaria de Políticas de Ações Afirmativas (SPAA) solicita os dados referentes a quantidade de alunos e alunas, negros e negras nas Universidades Públicas e Privadas do Brasil. ;06/02/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2534872;Educação Superior; ; ;24/01/2017;Prezado(a) Senhor(a), Em atendimento ao pedido de informação registrado sob o protocolo nº, 23480001102201749 segue resposta elaborada pela unidade responsável: As informações que deseja encontram-se na Sinopse Estatística da Educação Superior 2015, disponível em http://portal.inep.gov.br/web/guest/sinopses-estatisticas-da-educacao-superior , tabela 1.10. Informações agregadas por Instituição de Ensino Superior (IES) estão nos Microdados do Censo da Educação Superior, em http://portal.inep.gov.br/web/guest/microdados . Os arquivos possuem um conjunto de diretórios, a saber: Leia-me, Filtros, Dados, Anexo. No Leia-me terá o passo-a-passo para leitura do arquivo com os dados do censo e quais softwares utilizar, além do dicionário das variáveis e ainda deverá utilizar os filtros na extração dos dados. Além disso, os Microdados da Educação Superior de 2009 a 2015 foram completamente remodelados, e agora suas bases estão estruturadas no formato CSV (Comma-Separated Values), que é basicamente uma implementação de arquivos de texto separados por um delimitador e que pode ser consumido por praticamente qualquer sistema moderno, incluindo: softwares estatísticos ou de manipulação de dados, servidores de dados e planilhas eletrônicas (Excel, Calc, etc), conforme formatos adotados ou recomendados pelos Padrões de Interoperabilidade de Governo Eletrônico – ePING (Versão 2015). Para conferir as informações extraídas, favor consultar a Sinopse Estatística da Educação Superior, no link citado acima. Sugerimos consultar os formulários do censo da educação superior, em http://portal.inep.gov.br/web/guest/preenchimento Qualquer dúvida, estamos a disposição. Caso queira solicitar mais informações, é necessário registrar nova demanda no e-SIC, para que corram os prazos de atendimento previstos pela Lei de Acesso à Informação. Quando for negado o pedido de acesso à informação, o Decreto nº 7.724, de 16 de maio de 2012, estabelece que se resguarda ao interessado a possibilidade de apresentar recurso, no prazo de 10 (dez) dias. Em relação à presente demanda, o recurso será direcionado ao dirigente da DIRETORIA DE ESTATÍSTICAS EDUCACIONAIS – DEED do Inep. Atenciosamente, Serviço de Informação ao Cidadão – SIC-Inep Ouvidoria do Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira Setor de Indústrias Gráficas, quadra 04, lote 327 Edifício Villa Lobos – Sede do Inep, térreo CEP: 70610-908 – Brasília/DF e-SIC: http://www.acessoainformacao.gov.br/sistema/ ;Acesso Concedido;Resposta solicitada inserida no Fala.Br",INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,2017,Informação referente a quantidade de alun@s negr@s na universidades federais e privadas,Atendido,1
